f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f jV0300m jV0300f jV0500m jV0500f 
19.1791 0.28735 48.333 0.294386 54.4741 0 0 3.4742 -51.0881 1 -0 0.00346642 -50.6194 0.000103981 -106.121
19.6304 0.291384 47.613 0.298601 53.8975 0 0 3.60369 -51.5953 1 -0 0.00359582 -51.1368 0.000105907 -106.318
20.0923 0.295398 46.8885 0.302801 53.3196 0 0 3.73711 -52.1116 1 -0 0.00372917 -51.6632 0.000107858 -106.513
20.5651 0.299387 46.1597 0.306982 52.7409 0 0 3.87455 -52.6367 1 -0 0.00386653 -52.1981 0.000109835 -106.705
21.049 0.30335 45.4271 0.311141 52.1617 0 0 4.01607 -53.1702 1 -0 0.00400796 -52.7413 0.000111838 -106.893
21.5443 0.307281 44.6908 0.315277 51.5824 0 0 4.16173 -53.7117 1 -0 0.00415353 -53.2922 0.000113868 -107.077
22.0513 0.311179 43.9512 0.319386 51.0033 0 0 4.31161 -54.2608 1 -0 0.00430331 -53.8506 0.000115925 -107.258
22.5702 0.315041 43.2086 0.323466 50.4249 0 0 4.46576 -54.8171 1 -0 0.00445737 -54.416 0.00011801 -107.434
23.1013 0.318864 42.4633 0.327514 49.8476 0 0 4.62426 -55.3802 1 -0 0.00461576 -54.988 0.000120123 -107.607
23.6449 0.322644 41.7156 0.331527 49.2717 0 0 4.78716 -55.9497 1 -0 0.00477856 -55.5662 0.000122265 -107.775
24.2013 0.32638 40.9659 0.335504 48.6977 0 0 4.95454 -56.5252 1 -0 0.00494583 -56.1502 0.000124437 -107.938
24.7708 0.330069 40.2145 0.339442 48.1259 0 0 5.12645 -57.1063 1 -0 0.00511763 -56.7396 0.00012664 -108.097
25.3536 0.333707 39.4617 0.343338 47.5568 0 0 5.30296 -57.6926 1 -0 0.00529403 -57.3341 0.000128874 -108.251
25.9502 0.337293 38.7077 0.347191 46.9907 0 0 5.48413 -58.2838 1 -0 0.00547509 -57.9333 0.000131141 -108.4
26.5609 0.340824 37.953 0.350999 46.4281 0 0 5.67004 -58.8793 1 -0 0.00566087 -58.5367 0.00013344 -108.545
