F 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f
2.2570e-002 1.00000e+000 58.310 9.90094e-001 -8.071 1.00000e+000 -0.000 1.40408e-001 -161.451 1.00000e+000 116.620 2.05235e-002 179.793 2.08399e-002 169.795 2.82239e+001 -29.659 2.76570e+001 -29.618 1.00000e+000 0.000 2.47523e-001 108.549 3.61806e-002 89.793 1.00000e+000 -121.690 3.51020e-002 -98.071 2.47523e-001 -71.451 3.61806e-002 -90.207
2.3101e-002 1.00000e+000 58.310 9.89629e-001 -8.259 1.00000e+000 -0.000 1.43644e-001 -161.639 1.00000e+000 116.620 2.15217e-002 179.788 2.18386e-002 170.015 2.75759e+001 -29.612 2.69957e+001 -29.567 1.00000e+000 0.000 2.47407e-001 108.361 3.70682e-002 89.788 1.00000e+000 -121.690 3.59111e-002 -98.259 2.47407e-001 -71.639 3.70682e-002 -90.212
2.3645e-002 1.00000e+000 58.310 9.89144e-001 -8.450 1.00000e+000 -0.000 1.46952e-001 -161.830 1.00000e+000 116.620 2.25696e-002 179.782 2.28869e-002 170.230 2.69428e+001 -29.563 2.63489e+001 -29.515 1.00000e+000 0.000 2.47286e-001 108.170 3.79793e-002 89.782 1.00000e+000 -121.690 3.67381e-002 -98.450 2.47286e-001 -71.830 3.79793e-002 -90.218
2.4201e-002 1.00000e+000 58.310 9.88635e-001 -8.646 1.00000e+000 -0.000 1.50333e-001 -162.026 1.00000e+000 116.620 2.36697e-002 179.777 2.39875e-002 170.441 2.63242e+001 -29.513 2.57164e+001 -29.461 1.00000e+000 0.000 2.47159e-001 107.974 3.89148e-002 89.777 1.00000e+000 -121.690 3.75833e-002 -98.646 2.47159e-001 -72.026 3.89148e-002 -90.223
2.4771e-002 1.00000e+000 58.310 9.88104e-001 -8.846 1.00000e+000 -0.000 1.53788e-001 -162.226 1.00000e+000 116.620 2.48247e-002 179.772 2.51430e-002 170.646 2.57199e+001 -29.462 2.50978e+001 -29.406 1.00000e+000 0.000 2.47026e-001 107.774 3.98754e-002 89.772 1.00000e+000 -121.690 3.84469e-002 -98.846 2.47026e-001 -72.226 3.98754e-002 -90.228
2.5354e-002 1.00000e+000 58.310 9.87548e-001 -9.051 1.00000e+000 -0.000 1.57318e-001 -162.431 1.00000e+000 116.620 2.60376e-002 179.766 2.63562e-002 170.847 2.51295e+001 -29.409 2.44928e+001 -29.350 1.00000e+000 0.000 2.46887e-001 107.569 4.08620e-002 89.766 1.00000e+000 -121.690 3.93295e-002 -99.051 2.46887e-001 -72.431 4.08620e-002 -90.234
2.5950e-002 1.00000e+000 58.310 9.86967e-001 -9.261 1.00000e+000 -0.000 1.60925e-001 -162.640 1.00000e+000 116.620 2.73112e-002 179.760 2.76304e-002 171.043 2.45527e+001 -29.356 2.39011e+001 -29.292 1.00000e+000 0.000 2.46742e-001 107.360 4.18755e-002 89.760 1.00000e+000 -121.690 4.02313e-002 -99.261 2.46742e-001 -72.640 4.18755e-002 -90.240
2.6561e-002 1.00000e+000 58.310 9.86359e-001 -9.475 1.00000e+000 -0.000 1.64610e-001 -162.854 1.00000e+000 116.620 2.86489e-002 179.754 2.89686e-002 171.234 2.39892e+001 -29.301 2.33222e+001 -29.232 1.00000e+000 0.000 2.46590e-001 107.146 4.29166e-002 89.754 1.00000e+000 -121.690 4.11526e-002 -99.475 2.46590e-001 -72.854 4.29166e-002 -90.246
2.7186e-002 1.00000e+000 58.310 9.85723e-001 -9.693 1.00000e+000 -0.000 1.68375e-001 -163.073 1.00000e+000 116.620 3.00540e-002 179.748 3.03742e-002 171.421 2.34386e+001 -29.245 2.27560e+001 -29.171 1.00000e+000 0.000 2.46431e-001 106.927 4.39865e-002 89.748 1.00000e+000 -121.690 4.20938e-002 -99.693 2.46431e-001 -73.073 4.39865e-002 -90.252
2.7826e-002 1.00000e+000 58.310 9.85058e-001 -9.917 1.00000e+000 -0.000 1.72221e-001 -163.297 1.00000e+000 116.620 3.15302e-002 179.742 3.18509e-002 171.604 2.29008e+001 -29.187 2.22021e+001 -29.108 1.00000e+000 0.000 2.46265e-001 106.703 4.50860e-002 89.742 1.00000e+000 -121.690 4.30553e-002 -99.917 2.46265e-001 -73.297 4.50860e-002 -90.258
2.8480e-002 1.00000e+000 58.310 9.84363e-001 -10.146 1.00000e+000 -0.000 1.76149e-001 -163.525 1.00000e+000 116.620 3.30811e-002 179.735 3.34024e-002 171.782 2.23753e+001 -29.128 2.16602e+001 -29.044 1.00000e+000 0.000 2.46091e-001 106.475 4.62163e-002 89.735 1.00000e+000 -121.690 4.40373e-002 -100.146 2.46091e-001 -73.525 4.62163e-002 -90.265
2.9151e-002 1.00000e+000 58.310 9.83637e-001 -10.379 1.00000e+000 -0.000 1.80161e-001 -163.759 1.00000e+000 116.620 3.47110e-002 179.729 3.50328e-002 171.956 2.18619e+001 -29.068 2.11301e+001 -28.977 1.00000e+000 0.000 2.45909e-001 106.241 4.73784e-002 89.729 1.00000e+000 -121.690 4.50403e-002 -100.379 2.45909e-001 -73.759 4.73784e-002 -90.271
